species_name_dutch	species_latin_name	species_name_english
Sneeuwgans	Anser caerulescens	Snow Goose
Ross' Gans	Anser rossii	Ross’s Goose
Taigarietgans	Anser fabalis	Taiga Bean Goose
Toendrarietgans	Anser serrirostris	Tundra Bean Goose
Kleine Rietgans	Anser brachyrhynchus	Pink-footed Goose
Dwerggans	Anser erythropus	Lesser White-fronted Goose
IJseend	Clangula hyemalis	Long-tailed Duck
Koningseider	Somateria spectabilis	King Eider 
Eider	Somateria mollissima	Common Eider
Stellers Eider	Polysticta stelleri	Steller’s Eider
Brilzee-eend	Melanitta perspicillata	Surf Scoter
Grote Zee-eend	Melanitta fusca	Velvet Scoter
Zwarte Zee-eend	Melanitta nigra	Black Scoter
Amerikaanse Zee-eend	Melanitta americana	American Scoter
Buffelkopeend	Bucephala albeola 	Bufflehead
Brilduiker	Bucephala clangula	Common Goldeneye
Nonnetje	Mergellus albellus	Smew
Kokardezaagbek	Lophodytes cucullatus	Hooded Merganser
Grote Zaagbek	Mergus merganser	Goosander
Middelste Zaagbek	Mergus serrator	Red-breasted Merganser
Harlekijneend	Histrionicus histrionicus	Harlequin Duck
Bergeend	Tadorna tadorna	Common Shelduck
Casarca	Tadorna ferruginea	Ruddy Shelduck
Marmereend	Marmaronetta angustirostris 	Marbled Duck
Krooneend	Netta rufina	Red-crested Pochard
Amerikaanse Tafeleend	Aythya americana	Redhead
Witoogeend	Aythya nyroca	Ferruginous Duck
Ringsnaveleend	Aythya collaris 	Ring-necked Duck
Topper	Aythya marila	Greater Scaup
Kleine Topper	Aythya affinis	Lesser Scaup
Zomertaling	Spatula querquedula	Garganey
Blauwvleugeltaling	Spatula discors	Blue-winged Teal
Siberische Taling	Sibirionetta formosa	Baikal Teal
Bronskopeend	Mareca falcata	Falcated Duck
Smient	Mareca penelope	Eurasian Wigeon
Amerikaanse Smient	Mareca americana	American Wigeon
Pijlstaart	Anas acuta	Northern Pintail
Amerikaanse Wintertaling	Anas carolinensis	Green-winged Teal
Kwartel	Coturnix coturnix	Common Quail
Korhoen	Tetrao tetrix	Black Grouse
Patrijs	Perdix perdix	Grey Partridge
Flamingo	Phoenicopterus roseus	Greater Flamingo
Dikbekfuut	Podilymbus podiceps	Pied-billed Grebe
Roodhalsfuut	Podiceps grisegena	Red-necked Grebe
Kuifduiker	Podiceps auritus	Horned Grebe
Geoorde Fuut	Podiceps nigricollis	Black-necked Grebe
Zomertortel	Streptopelia turtur	European Turtle Dove
Oosterse Tortel	Streptopelia orientalis	Oriental Turtle Dove
Steppehoen	Syrrhaptes paradoxus	Pallas’s Sandgrouse
Nachtzwaluw	Caprimulgus europaeus	European Nightjar
Stekelstaartgierzwaluw	Hirundapus caudacutus	White-throated Needletail
Alpengierzwaluw	Tachymarptis melba	Alpine Swift
Siberische Gierzwaluw	Apus pacificus	Pacific Swift
Huisgierzwaluw	Apus affinis	Little Swift
Vale Gierzwaluw	Apus pallidus	Pallid Swift
Gierzwaluw	Apus apus	Common Swift
Kuifkoekoek	Clamator glandarius	Great Spotted Cuckoo
Koekoek	Cuculus canorus	Common Cuckoo
Kwartelkoning	Crex crex	Corn Crake
Porseleinhoen	Porzana porzana	Spotted Crake
Klein Waterhoen	Zapornia parva	Little Crake
Kleinst Waterhoen	Zapornia pusilla	Baillon’s Crake
Canadese Kraanvogel	Antigone canadensis	Sandhill Crane
Jufferkraanvogel	Grus virgo	Demoiselle Crane
Kraanvogel	Grus grus	Common Crane
Kleine Trap	Tetrax tetrax	Little Bustard
Grote Trap	Otis tarda	Great Bustard
Oostelijke Kraagtrap	Chlamydotis macqueenii	Macqueen’s Bustard
Roodkeelduiker	Gavia stellata	Red-throated Loon
Parelduiker	Gavia arctica	Black-throated Loon
IJsduiker	Gavia immer	Common Loon
Geelsnavelduiker	Gavia adamsii	Yellow-billed Loon
Wilsons Stormvogeltje	Oceanites oceanicus	Wilson’s Storm Petrel
Bont Stormvogeltje	Pelagodroma marina	White-faced Storm Petrel
Stormvogeltje	Hydrobates pelagicus	British Storm Petrel
Vaal Stormvogeltje	Hydrobates leucorhous	Leach’s Storm Petrel
Noordse Stormvogel	Fulmarus glacialis	Northern Fulmar
donsstormvogel	Pterodroma	soft-plumaged petrel
Kuhls Pijlstormvogel	Calonectris borealis	Cory’s Shearwater
Grauwe Pijlstormvogel	Ardenna grisea	Sooty Shearwater
Grote Pijlstormvogel	Ardenna gravis	Great Shearwater
Noordse Pijlstormvogel	Puffinus puffinus	Manx Shearwater
Vale Pijlstormvogel	Puffinus mauretanicus	Balearic Shearwater
Zwarte Ooievaar	Ciconia nigra	Black Stork
Ooievaar	Ciconia ciconia	White Stork
Roze Pelikaan	Pelecanus onocrotalus	Great White Pelican
Kroeskoppelikaan	Pelecanus crispus	Dalmatian Pelican
Roerdomp	Botaurus stellaris	Eurasian Bittern
Woudaap	Ixobrychus minutus	Little Bittern
Kwak	Nycticorax nycticorax	Black-crowned Night Heron
Groene Reiger	Butorides virescens	Green Heron
Ralreiger	Ardeola ralloides	Squacco Heron
Koereiger	Bubulcus ibis	Cattle Egret
Purperreiger	Ardea purpurea	Purple Heron
Grote Zilverreiger	Ardea alba	Western Great Egret
Kleine Zilverreiger	Egretta garzetta	Little Egret
Lepelaar	Platalea leucorodia	Eurasian Spoonbill
Zwarte Ibis	Plegadis falcinellus	Glossy Ibis
Jan-van-gent	Morus bassanus	Northern Gannet
Bruine Gent	Sula leucogaster	Brown Booby
Dwergaalscholver	Microcarbo pygmeus	Pygmy Cormorant
Kuifaalscholver	Phalacrocorax aristotelis	European Shag
Griel	Burhinus oedicnemus	Eurasian Stone-curlew
Scholekster	Haematopus ostralegus	Eurasian Oystercatcher
Steltkluut	Himantopus himantopus	Black-winged Stilt
Kluut	Recurvirostra avosetta	Pied Avocet
Zilverplevier	Pluvialis squatarola	Grey Plover
Goudplevier	Pluvialis apricaria	European Golden Plover
Amerikaanse Goudplevier	Pluvialis dominica	American Golden Plover
Aziatische Goudplevier	Pluvialis fulva	Pacific Golden Plover
Morinelplevier	Charadrius morinellus	Eurasian Dotterel
Killdeerplevier	Charadrius vociferus	Killdeer
Bontbekplevier	Charadrius hiaticula	Common Ringed Plover
Kleine Plevier	Charadrius dubius	Little Ringed Plover
Grijskopkievit	Vanellus cinereus	Grey-headed Lapwing
Indische Kievit	Vanellus indicus	Red-wattled Lapwing
Steppekievit	Vanellus gregarius	Sociable Lapwing
Witstaartkievit	Vanellus leucurus	White-tailed Lapwing
Kievit	Vanellus vanellus	Northern Lapwing
Kaspische Plevier	Anarhynchus asiaticus	Caspian Plover
Woestijnplevier	Anarhynchus leschenaultii	Greater Sand Plover
Strandplevier	Anarhynchus alexandrinus	Kentish Plover
Bartrams Ruiter	Bartramia longicauda	Upland Sandpiper
Regenwulp	Numenius phaeopus	Eurasian Whimbrel
Kleine Regenwulp	Numenius minutus	Little Curlew
Dunbekwulp	Numenius tenuirostris	Slender-billed Curlew
Wulp	Numenius arquata	Eurasian Curlew
Grutto	Limosa limosa	Black-tailed Godwit
Rosse Grutto	Limosa lapponica	Bar-tailed Godwit
Steenloper	Arenaria interpres	Ruddy Turnstone
Grote Kanoet	Calidris tenuirostris	Great Knot
Kanoet	Calidris canutus	Red Knot
Kemphaan	Calidris pugnax	Ruff
Siberische Strandloper	Calidris acuminata	Sharp-tailed Sandpiper
Breedbekstrandloper	Calidris falcinellus	Broad-billed Sandpiper
Krombekstrandloper	Calidris ferruginea	Curlew Sandpiper
Steltstrandloper	Calidris himantopus	Stilt Sandpiper
Roodkeelstrandloper	Calidris ruficollis	Red-necked Stint
Taigastrandloper	Calidris subminuta	Long-toed Stint
Temmincks Strandloper	Calidris temminckii	Temminck’s Stint
Drieteenstrandloper	Calidris alba	Sanderling
Bonte Strandloper	Calidris alpina	Dunlin
Paarse Strandloper	Calidris maritima	Purple Sandpiper
Bairds Strandloper	Calidris bairdii	Baird’s Sandpiper
Kleine Strandloper	Calidris minuta	Little Stint
Bonapartes Strandloper	Calidris fuscicollis	White-rumped Sandpiper
Blonde Ruiter	Calidris subruficollis	Buff-breasted Sandpiper
Gestreepte Strandloper	Calidris melanotos	Pectoral Sandpiper
Alaskastrandloper	Calidris mauri	Western Sandpiper
Grijze Strandloper	Calidris pusilla	Semipalmated Sandpiper
Grote Franjepoot	Phalaropus tricolor	Wilson’s Phalarope
Grauwe Franjepoot	Phalaropus lobatus	Red-necked Phalarope
Rosse Franjepoot	Phalaropus fulicarius	Red Phalarope
Terekruiter	Xenus cinereus	Terek Sandpiper
Amerikaanse Oeverloper	Actitis macularius	Spotted Sandpiper
Witgat	Tringa ochropus	Green Sandpiper
Amerikaanse Bosruiter	Tringa solitaria	Solitary Sandpiper
Siberische Grijze Ruiter	Tringa brevipes	Grey-tailed Tattler
Zwarte Ruiter	Tringa erythropus	Spotted Redshank
Grote Geelpootruiter	Tringa melanoleuca	Greater Yellowlegs
Groenpootruiter	Tringa nebularia	Common Greenshank
Kleine Geelpootruiter	Tringa flavipes	Lesser Yellowlegs
Poelruiter	Tringa stagnatilis	Marsh Sandpiper
Bosruiter	Tringa glareola	Wood Sandpiper
Tureluur	Tringa totanus	Common Redshank
Bokje	Lymnocryptes minimus	Jack Snipe
Grote Grijze Snip	Limnodromus scolopaceus	Long-billed Dowitcher
Houtsnip	Scolopax rusticola	Eurasian Woodcock
Watersnip	Gallinago gallinago	Common Snipe
Poelsnip	Gallinago media	Great Snipe
Vorkstaartplevier	Glareola pratincola	Collared Pratincole
Oosterse Vorkstaartplevier	Glareola maldivarum	Oriental Pratincole
Steppevorkstaartplevier	Glareola nordmanni	Black-winged Pratincole
Renvogel	Cursorius cursor	Cream-colored Courser
Papegaaiduiker	Fratercula arctica	Atlantic Puffin
Zwarte Zeekoet	Cepphus grylle	Black Guillemot
Alk	Alca torda	Razorbill
Kleine Alk	Alle alle	Little Auk
Kortbekzeekoet	Uria lomvia	Thick-billed Murre
Zeekoet	Uria aalge	Common Murre
Kleinste Jager	Stercorarius longicaudus	Long-tailed Jaeger
Kleine Jager	Stercorarius parasiticus	Parasitic Jaeger
Middelste Jager	Stercorarius pomarinus	Pomarine Skua
Grote Jager	Stercorarius skua	Great Skua
Drieteenmeeuw	Rissa tridactyla	Black-legged Kittiwake
Ivoormeeuw	Pagophila eburnea	Ivory Gull
Vorkstaartmeeuw	Xema sabini	Sabine’s Gull
Dunbekmeeuw	Chroicocephalus genei	Slender-billed Gull
Kleine Kokmeeuw	Chroicocephalus philadelphia	Bonaparte’s Gull
Dwergmeeuw	Hydrocoloeus minutus	Little Gull
Ross' Meeuw	Rhodostethia rosea	Ross’s Gull
Lachmeeuw	Larus atricilla	Laughing Gull
Franklins Meeuw	Larus pipixcan	Franklin’s Gull
Audouins Meeuw	Larus audouinii	Audouin’s Gull
Reuzenzwartkopmeeuw	Larus ichthyaetus	Pallas’s Gull
Ringsnavelmeeuw	Larus delawarensis	Ring-billed Gull
Thayers Meeuw	Larus thayeri	Thayer's Gull
Kleine Burgemeester	Larus glaucoides	Iceland Gull
Grote Burgemeester	Larus hyperboreus	Glaucous Gull
Bonte Stern	Onychoprion fuscatus	Sooty Tern
Brilstern	Onychoprion anaethetus	Bridled Tern
Dwergstern	Sternula albifrons	Little Tern
Lachstern	Gelochelidon nilotica	Gull-billed Tern
Reuzenstern	Hydroprogne caspia	Caspian Tern
Witwangstern	Chlidonias hybrida	Whiskered Tern
Witvleugelstern	Chlidonias leucopterus	White-winged Tern
Zwarte Stern	Chlidonias niger	Black Tern
Dougalls Stern	Sterna dougallii	Roseate Tern
Visdief	Sterna hirundo	Common Tern
Noordse Stern	Sterna paradisaea	Arctic Tern
Forsters Stern	Sterna forsteri	Forster’s Tern
Sierlijke Stern	Sterna elegans	Elegant Tern
Grote Stern	Sterna sandvicensis	Sandwich Tern
Amerikaanse Grote Stern	Sterna acuflavida	Cabot’s Tern
Visarend	Pandion haliaetus	Western Osprey
Grijze Wouw	Elanus caeruleus	Black-winged Kite
Wespendief	Pernis apivorus	European Honey Buzzard
Aasgier	Neophron percnopterus	Egyptian Vulture
Slangenarend	Circaetus gallicus	Short-toed Snake Eagle
Vale Gier	Gyps fulvus	Griffon Vulture
Monniksgier	Aegypius monachus	Cinereous Vulture
Schreeuwarend	Clanga pomarina	Lesser Spotted Eagle
Bastaardarend	Clanga clanga	Greater Spotted Eagle
Dwergarend	Aquila pennata	Booted Eagle
Steppearend	Aquila nipalensis	Steppe Eagle
Spaanse Keizerarend	Aquila adalberti	Spanish Imperial Eagle
Keizerarend	Aquila heliaca	Eastern Imperial Eagle
Steenarend	Aquila chrysaetos	Golden Eagle
Havikarend	Aquila fasciata	Bonelli’s Eagle
Bruine Kiekendief	Circus aeruginosus	Western Marsh Harrier
Blauwe Kiekendief	Circus cyaneus	Northern Harrier
Steppekiekendief	Circus macrourus	Pallid Harrier
Grauwe Kiekendief	Circus pygargus	Montagu’s Harrier
Havik	Accipiter gentilis	Northern Goshawk
Zeearend	Haliaeetus albicilla	White-tailed Eagle
Rode Wouw	Milvus milvus	Red Kite
Zwarte Wouw	Milvus migrans	Black Kite
Ruigpootbuizerd	Buteo lagopus	Rough-legged Buzzard
Arendbuizerd	Buteo rufinus	Long-legged Buzzard
Kerkuil	Tyto alba	Common Barn Owl
Sperweruil	Surnia ulula	Northern Hawk-Owl
Dwerguil	Glaucidium passerinum	Eurasian Pygmy Owl
Steenuil	Athene noctua	Little Owl
Ruigpootuil	Aegolius funereus	Boreal Owl
Dwergooruil	Otus scops	Eurasian Scops Owl
Ransuil	Asio otus	Long-eared Owl
Velduil	Asio flammeus	Short-eared Owl
Bosuil	Strix aluco	Tawny Owl
Sneeuwuil	Bubo scandiacus	Snowy Owl
Oehoe	Bubo bubo	Eurasian Eagle-Owl
Hop	Upupa epops	Eurasian Hoopoe
Bijeneter	Merops apiaster	European Bee-eater
Groene Bijeneter	Merops persicus	Blue-cheeked Bee-eater
Scharrelaar	Coracias garrulus	European Roller
Bandijsvogel	Megaceryle alcyon	Belted Kingfisher
Draaihals	Jynx torquilla	Eurasian Wryneck
Grijskopspecht	Picus canus	Grey-headed Woodpecker
Zwarte Specht	Dryocopus martius	Black Woodpecker
Middelste Bonte Specht	Dendrocoptes medius	Middle Spotted Woodpecker
Kleine Bonte Specht	Dryobates minor	Lesser Spotted Woodpecker
Kleine Torenvalk	Falco naumanni	Lesser Kestrel
Roodpootvalk	Falco vespertinus	Red-footed Falcon
Eleonora's Valk	Falco eleonorae	Eleonora's Falcon
Smelleken	Falco columbarius	Merlin
Boomvalk	Falco subbuteo	Eurasian Hobby
Sakervalk	Falco cherrug	Saker Falcon
Giervalk	Falco rusticolus	Gyrfalcon
Roodoogvireo	Vireo olivaceus	Red-eyed Vireo
Wielewaal	Oriolus oriolus	Eurasian Golden Oriole
Bruine Klauwier	Lanius cristatus	Brown Shrike
Grauwe Klauwier	Lanius collurio	Red-backed Shrike
Turkestaanse Klauwier	Lanius phoenicuroides	Red-tailed Shrike
Daurische Klauwier	Lanius isabellinus	Daurian Shrike
Langstaartklauwier	Lanius schach	Long-tailed Shrike
Kleine Klapekster	Lanius minor	Lesser Grey Shrike
Klapekster	Lanius excubitor	Great Grey Shrike
Steppeklapekster	Lanius lahtora pallidirostris	Steppe Grey Shrike
Maskerklauwier	Lanius nubicus	Masked Shrike
Roodkopklauwier	Lanius senator	Woodchat Shrike
Notenkraker	Nucifraga caryocatactes	Spotted Nutcracker
Daurische Kauw	Corvus dauuricus	Daurian Jackdaw
Roek	Corvus frugilegus	Rook
Bonte Kraai	Corvus cornix	Hooded Crow
Raaf	Corvus corax	Northern Raven
Buidelmees	Remiz pendulinus	Eurasian Penduline Tit
Kuifmees	Lophophanes cristatus	European Crested Tit
Zwarte Mees	Periparus ater	Coal Tit
Matkop	Poecile montanus	Willow Tit
Glanskop	Poecile palustris	Marsh Tit
Baardman	Panurus biarmicus	Bearded Reedling
Boomleeuwerik	Lullula arborea	Woodlark
Veldleeuwerik	Alauda arvensis	Eurasian Skylark
Kuifleeuwerik	Galerida cristata	Crested Lark
Strandleeuwerik	Eremophila flava	Shorelark
Kortteenleeuwerik	Calandrella brachydactyla	Greater Short-toed Lark
Kalanderleeuwerik	Melanocorypha calandra	Calandra Lark
Oeverzwaluw	Riparia riparia	Sand Martin
Rotszwaluw	Ptyonoprogne rupestris	Eurasian Crag Martin
Boerenzwaluw	Hirundo rustica	Barn Swallow
Huiszwaluw	Delichon urbicum	Common House Martin
Roodstuitzwaluw	Cecropis daurica rufula	Red-rumped Swallow
Cetti’s Zanger	Cettia cetti	Cetti’s Warbler
Kroonboszanger	Phylloscopus coronatus	Eastern Crowned Warbler
Groene Fitis	Phylloscopus nitidus	Green Warbler
Swinhoes Boszanger	Phylloscopus plumbeitarsus	Two-barred Warbler
Grauwe Fitis	Phylloscopus trochiloides	Greenish Warbler
Noordse Boszanger	Phylloscopus borealis	Arctic Warbler
Pallas' Boszanger	Phylloscopus proregulus	Pallas's Leaf Warbler
Bladkoning	Phylloscopus inornatus	Yellow-browed Warbler
Humes Bladkoning	Phylloscopus humei	Hume's Leaf Warbler
Raddes Boszanger	Phylloscopus schwarzi	Radde’s Warbler
Bruine Boszanger	Phylloscopus fuscatus	Dusky Warbler
Bergfluiter	Phylloscopus bonelli	Western Bonelli’s Warbler
Balkanbergfluiter	Phylloscopus orientalis	Eastern Bonelli’s Warbler
Fluiter	Phylloscopus sibilatrix	Wood Warbler
Siberische Tjiftjaf	Phylloscopus tristis	Siberian Chiffchaff
Iberische Tjiftjaf	Phylloscopus ibericus	Iberian Chiffchaff
Fitis	Phylloscopus trochilus	Willow Warbler
Zwartkop	Sylvia atricapilla	Eurasian Blackcap
Tuinfluiter	Sylvia borin	Garden Warbler
Afrikaanse Woestijngrasmus	Curruca deserti	African Desert Warbler
Woestijngrasmus	Curruca nana	Asian Desert Warbler
Sperwergrasmus	Curruca nisoria	Barred Warbler
Humes Braamsluiper	Sylvia althaea	Hume's Whitethroat
Braamsluiper	Curruca curruca	Lesser Whitethroat
Westelijke Orpheusgrasmus	Curruca hortensis	Western Orphean Warbler
Kleine Zwartkop	Curruca melanocephala	Sardinian Warbler
Westelijke Baardgrasmus	Curruca iberiae	Western Subalpine Warbler
Balkanbaardgrasmus	Curruca cantillans	Eastern Subalpine Warbler
Grasmus	Curruca communis	Common Whitethroat
Brilgrasmus	Sylvia conspicillata	Spectacled Warbler
Provençaalse Grasmus	Sylvia undata	Dartford Warbler
Kleine Sprinkhaanzanger	Locustella lanceolata	Lanceolated Warbler
Siberische Sprinkhaanzanger	Locustella certhiola	Pallas's Grasshopper Warbler
Sprinkhaanzanger	Locustella naevia	Common Grasshopper Warbler
Krekelzanger	Locustella fluviatilis	River Warbler
Snor	Locustella luscinioides	Savi’s Warbler
Kleine Spotvogel	Iduna caligata	Booted Warbler
Sykes’ Spotvogel	Iduna rama	Sykes’s Warbler
Grote Vale Spotvogel	Hippolais languida	Upcher's Warbler
Spotvogel	Hippolais icterina	Icterine Warbler
Orpheusspotvogel	Hippolais polyglotta	Melodious Warbler
Grote Karekiet	Acrocephalus arundinaceus	Great Reed Warbler
Veldrietzanger	Acrocephalus agricola	Paddyfield Warbler
Struikrietzanger	Acrocephalus dumetorum	Blyth's Reed Warbler
Bosrietzanger	Acrocephalus palustris	Marsh Warbler
Kleine Karekiet	Acrocephalus scirpaceus	Eurasian Reed Warbler
Waterrietzanger	Acrocephalus paludicola	Aquatic Warbler
Rietzanger	Acrocephalus schoenobaenus	Sedge Warbler
Zwartkoprietzanger	Acrocephalus melanopogon	Moustached Warbler
Graszanger	Cisticola juncidis	Zitting Cisticola
Pestvogel	Bombycilla garrulus	Bohemian Waxwing
Rotskruiper	Tichodroma muraria	Wallcreeper
Boomklever	Sitta europaea	Eurasian Nuthatch
Taigaboomkruiper	Certhia familiaris	Eurasian Treecreeper
Spotlijster	Mimus polyglottos	Northern Mockingbird
Daurische Spreeuw	Agropsar sturninus	Daurian Starling
Roze Spreeuw	Pastor roseus	Rosy Starling
Waterspreeuw	Cinclus cinclus	White-throated Dipper
Goudlijster	Zoothera aurea	White’s Thrush
Grijswangdwerglijster	Catharus minimus	Grey-cheeked Thrush
Siberische Lijster	Geokichla sibirica	Siberian Thrush
Beflijster	Turdus torquatus	Ring Ouzel
Vale Lijster	Turdus obscurus	Eyebrowed Thrush
Bruine Lijster	Turdus eunomus	Dusky Thrush
Zwartkeellijster	Turdus atrogularis	Black-throated Thrush
Grote Lijster	Turdus viscivorus	Mistle Thrush
Roodborstlijster	Turdus migratorius	American Robin
Rosse Waaierstaart	Cercotrichas galactotes	Rufous-tailed Scrub Robin
Grauwe Vliegenvanger	Muscicapa striata	Spotted Flycatcher
Perzische Roodborst	Irania gutturalis	White-throated Robin
Noordse Nachtegaal	Luscinia luscinia	Thrush Nightingale
Nachtegaal	Luscinia megarhynchos	Common Nightingale
Blauwborst	Luscinia svecica	Bluethroat
Roodkeelnachtegaal	Calliope calliope	Siberian Rubythroat
Blauwstaart	Tarsiger cyanurus	Red-flanked Bluetail
Kleine Vliegenvanger	Ficedula parva	Red-breasted Flycatcher
Withalsvliegenvanger	Ficedula albicollis	Collared Flycatcher
Bonte Vliegenvanger	Ficedula hypoleuca	European Pied Flycatcher
Gekraagde Roodstaart	Phoenicurus phoenicurus	Common Redstart
Rode Rotslijster	Monticola saxatilis	Common Rock Thrush
Blauwe Rotslijster	Monticola solitarius	Blue Rock Thrush
Paapje	Saxicola rubetra	Whinchat
Aziatische Roodborsttapuit	Saxicola maurus	Siberian Stonechat
Stejnegers Roodborsttapuit	Saxicola stejnegeri	Stejneger's Stonechat
Roodborsttapuit	Saxicola rubicola	European Stonechat
Tapuit	Oenanthe oenanthe	Northern Wheatear
Seebohms Tapuit	Oenanthe seebohmi	Seebohm's Wheatear
Izabeltapuit	Oenanthe isabellina	Isabelline Wheatear
Woestijntapuit	Oenanthe deserti	Desert Wheatear
Westelijke Blonde Tapuit	Oenanthe hispanica	Western Black-eared Wheatear
Oostelijke Blonde Tapuit	Oenanthe melanoleuca	Eastern Black-eared Wheatear
Bonte Tapuit	Oenanthe pleschanka	Pied Wheatear
Alpenheggenmus	Prunella collaris	Alpine Accentor
Bergheggenmus	Prunella montanella	Siberian Accentor
Spaanse Mus	Passer hispaniolensis	Spanish Sparrow
Engelse Kwikstaart	Motacilla flavissima	Yellow(-crowned) Wagtail
Gele Kwikstaart	Motacilla flava	Blue-headed Wagtail
Noordse Kwikstaart	Motacilla thunbergi	Grey-headed Wagtail
Witkeelkwikstaart	Motacilla cinereocapilla	White-throated Wagtail
Balkankwikstaart	Motacilla feldegg	Black-headed Wagtail
Citroenkwikstaart	Motacilla citreola	Citrine Wagtail
Rouwkwikstaart	Motacilla yarrellii	Pied Wagtail
Grote Pieper	Anthus richardi	Richard’s Pipit
Mongoolse Pieper	Anthus godlewskii	Blyth’s Pipit
Duinpieper	Anthus campestris	Tawny Pipit
Siberische Boompieper	Anthus hodgsoni	Olive-backed Pipit
Boompieper	Anthus trivialis	Tree Pipit
Roodkeelpieper	Anthus cervinus	Red-throated Pipit
Waterpieper	Anthus spinoletta	Water Pipit
Keep	Fringilla montifringilla	Brambling
Appelvink	Coccothraustes coccothraustes	Hawfinch
